	Timestamp	UserID	Action
2023-11-19 14:03:23	SNM00002	3
2023-11-19 14:05:13	SNM00002	2
2023-11-19 14:05:17	SNM00002	3
2023-11-19 14:05:22	SNM00002	2
2023-11-19 14:05:25	SNM00002	3
2023-11-19 14:09:11	SNM00002	1
2023-11-19 14:09:20	SNM00002	3
2023-11-19 14:19:47	SNM00002	2
2023-11-19 14:19:55	SNM00002	2
2023-11-19 14:20:09	SNM00002	3
2023-11-19 14:22:20	SNM00002	1
2023-11-19 14:23:00	SNM00002	1
2023-11-19 14:23:35	SNM00002	2
2023-11-19 14:24:56	SNM00002	1
2023-11-19 14:26:02	SNM00002	2
2023-11-19 14:26:04	SNM00002	0
2023-11-19 14:57:52	SNM00002	4
2023-11-19 15:00:11	SNM00002	3
2023-11-19 15:00:15	SNM00002	2
2023-11-19 15:00:16	SNM00002	4
2023-11-19 15:02:14	SNM00002	4
2023-11-19 15:02:33	SNM00002	4
2023-11-19 15:02:39	SNM00002	2
2023-11-19 15:02:47	SNM00002	4
2023-11-19 15:02:57	SNM00002	2
2023-11-19 15:02:58	SNM00002	0
2023-11-19 15:09:34	SNM00002	4
2023-11-19 15:10:01	SNM00002	1
